shop_name,phone_number,category,subcategory,sub_subcategory,city,location
Asfoor Service,78-840909,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
ATU,03-341448,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Auto Carvice,03-950517,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,South Governorate,Sidon District
Auto Clinic,03-919900,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Patrakyieh
AUTOZEIN,70-360313,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Ayman Bhamdouni,03-002584,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Bilal Maeit,70-176344,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Chami Motors,03-787350,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Clinic 2000,81-787847,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Dabbousi Mechanics,03-167375,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
DIATEC,01-822422,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Jnah
Electricity Ahmed El Safoury,03-581536,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
ELECTRO-CAR SERVICE,03-230128,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Abou Ammar,71-500989,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Wata Al Msaytbeh
Garage Ahmad Hasbani,03-254939,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Afyouni,03-279105,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Amin For Mechanic,03-802875,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Asmar,03-028397,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Asmar,78-955741,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Sheikh,70-598930,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Baayoun,76-806545,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Msaytbeh
GARAGE CAR M.M,81833818,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Garage El Meraabi,71-604360,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Hadi Jaber,03-723163,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Garage Haitham Antar,03-166181,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Halal Mechatronics,03-156774,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Sin El Fil
Garage Hussein Al Hmaysi,03-523797,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Kamal For Mechanics,70-494488,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,Koura District
Garage Khalil Salem,03-129828,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,Koura District
Garage Mechanic Tabshey,03-927977,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Rabih Al Haj,03-335105,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Shaaban,70-783503,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Sohayb Al Sheikh,70-354523,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Yamout For Cars And Motorcycles,76-644087,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,El Hamra
Garage Younes Mouammar,03-254415,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Golden Garage,70-002089,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Chouf District
H.Motor,03-758472,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,Koura District
Hashem Electric,03-800931,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Jurdi Auto Service,03-364671,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Khaled Al Bely Shops,03-520765,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Makanic Ahmed Abbas,03-144090,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Marwan Al Ratel Shops,03-966452,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Master Services,03-175097,Services , Maintenance Companies,,North Governorate,City of Tripoli
MD,03-107203,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Mechanical Tuning Center,03-531133,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Mercedes Service,03-363090,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,South Governorate,Sidon District
Moallem Zaki,03-259161,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Tareek El Jadideh
Mohammad For Car Electricity,81-935880,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Niser Autofram,70-267841,Vehicles & Transport , Tires & Car Spare Parts,,North Governorate,City of Tripoli
PROdynamics,71-777769,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Metn District
ROVER REPAIR CENTRAL,03-818082,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Governorate of Akkar,Arka
Salem (car Electric & Aircondition),03-202290,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Ain El Tineh
Scaner Annous,70-147339,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Scaner Maksoud,76-363404,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Service Abdo Car,03-245561,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Talal Razzouk,03-295075,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Tarek Al Sheikh For Mechanics,70-248158,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Wissam Taljeh,03-879917,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Raoucheh
Zarzour Workshop‎,03-768873,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Al Homsi For Cars,70-527621,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Al Sultan,03-747494,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Al Sayed,03-289650,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage El Bali,70-704540,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garage Moufid Haidar,03-652400,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Corniche Al Mazraa
Garage Tarek Othman,03-503814,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Garaj Saed Alsen Mechanics,70-086003,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,South Governorate,Sidon District
Mechanic Sami Al Rayess,03-545766,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Nizar Al Jourdi Exhaust Silencers,03-449314,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Aley District
Walid Stores For Repairing Motorcycles,70-831634,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
A 2 Z Auto Paint Shop,03-985458,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Mullah
A To Z,70-945423,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Tareek El Jadideh
Abo Ahmad Al Hariri Shops,03-167058,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Abo Baker Shops For Painting,70-179019,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Al Abbasi,70-998483,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Tareek El Jadideh
Al Amouri Hehdadah,03-511489,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Al Omar Shops,06-382159,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Al Sayad,70-272778,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Al Sayed Shops,03-258551,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Al Zein Shops,76-132120,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Ali Eter,03-823975,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Ali Saadallah,03-523570,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Auto Ballouz - Ketermaya,70-197005,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Chouf District
Auto Ballouz - Saida,70-197005,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,South Governorate,Sidon District
Auto Star,03-030790,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Wata Al Msaytbeh
Car Pro,71-666705,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Keserwan District
Car Shop,70-959882,Vehicles & Transport , Automotive Accessories,,South Governorate,Sidon District
Carage allabban,03-946720,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Raoucheh
Dabbousi Stores,70-040747,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Dandan Stores,71-937806,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Fadel Obaid For Cars Paints,03-029748,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Fawzi Baroud Sons & Shops,03-138049,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
First Cars,76-087979,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Garage Abdulhamid Al Oueik,70-354401,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Garage Al Iman,70-246460,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Garage Hatem Massoud,03-368746,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Aley District
Garage Ibrahim,76-663588,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Garage Nizar Abdul Khalek,03-451481,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Aley District
Garage Rony Khachan,03-276712,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Baabda District
garage Youssef Khawaja,03-215120,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Raoucheh
Golden Garage,70-002089,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Chouf District
Haddad Ahmad,70-725499,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Hilal Baroud Shops,03-180791,Factories & Companies , Craftsmen , Upholstery,North Governorate,City of Tripoli
Ibrahim Khalil Banat Corporation,3266225,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Raoucheh
Institution Talal Al Mereabi Trading,03-661740,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Institution Walid Al Masri,03-338810,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
